2024-03-17 20:02:31 [restartedMain] INFO  u.e.aspect.LoggingAspect - Empl_Appln:: Request: ActuatorHttpExchangesConfiguration$$SpringCGLIB$$0.httpTraceRepository() with arguments: []
2024-03-17 20:02:36 [restartedMain] INFO  u.e.aspect.LoggingAspect - Empl_Appln:: Request: OpenApiConfig$$SpringCGLIB$$0.usersMicroserviceOpenAPI() with arguments: []
2024-03-17 20:02:36 [restartedMain] INFO  u.e.aspect.LoggingAspect - Empl_Appln:: Response: OpenApiConfig$$SpringCGLIB$$0.usersMicroserviceOpenAPI() with response: {"openapi":"3.0.1","info":{"title":"Project Unicorn: Employee Management API","description":"API Documentation for Employee Management Springboot Backend","termsOfService":null,"contact":null,"license":null,"version":"1.0","extensions":null,"summary":null},"externalDocs":null,"servers":null,"security":null,"tags":null,"paths":null,"components":null,"extensions":null,"jsonSchemaDialect":null,"webhooks":null}
2024-03-17 20:02:38 [restartedMain] INFO  u.e.aspect.LoggingAspect - Empl_Appln:: Request: TestDataGenerator.run() with arguments: [[]]
2024-03-17 20:02:38 [restartedMain] INFO  u.e.aspect.LoggingAspect - Empl_Appln:: Request: AddressController.addAddress() with arguments: [{"id":null,"street":"Blk 123, #20-12 Clementi Ave 1","city":"Clementi","state":"Singapore","postalCode":"12345","country":"Singapore"}]
2024-03-17 20:02:38 [restartedMain] INFO  u.e.aspect.LoggingAspect - Empl_Appln:: Request: AddressServiceImpl.addAddress() with arguments: [{"id":null,"street":"Blk 123, #20-12 Clementi Ave 1","city":"Clementi","state":"Singapore","postalCode":"12345","country":"Singapore"}]
2024-03-17 20:02:38 [restartedMain] INFO  u.e.aspect.LoggingAspect - Empl_Appln:: Request: $Proxy139.save() with arguments: [{"id":null,"street":"Blk 123, #20-12 Clementi Ave 1","city":"Clementi","state":"Singapore","postalCode":"12345","country":"Singapore"}]
2024-03-17 20:02:38 [restartedMain] INFO  u.e.aspect.LoggingAspect - Empl_Appln:: Response: $Proxy139.save() with response: {"id":1,"street":"Blk 123, #20-12 Clementi Ave 1","city":"Clementi","state":"Singapore","postalCode":"12345","country":"Singapore"}
2024-03-17 20:02:38 [restartedMain] INFO  u.e.aspect.LoggingAspect - Empl_Appln:: Response: AddressServiceImpl.addAddress() with response: {"id":1,"street":"Blk 123, #20-12 Clementi Ave 1","city":"Clementi","state":"Singapore","postalCode":"12345","country":"Singapore"}
2024-03-17 20:02:38 [restartedMain] INFO  u.e.aspect.LoggingAspect - Empl_Appln:: Response: AddressController.addAddress() with response: {"id":1,"street":"Blk 123, #20-12 Clementi Ave 1","city":"Clementi","state":"Singapore","postalCode":"12345","country":"Singapore"}
2024-03-17 20:02:38 [restartedMain] INFO  u.e.aspect.LoggingAspect - Empl_Appln:: Request: CredentialsController.addCredentials() with arguments: [{"id":null,"type":"O-Levels","issuer":"MOE","issueDate":1710676958404,"expiryDate":1710676958404}]
